--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Sat Oct  7 19:26:15 2023
--------------------------------------------------------------------------------

{'username': 'shubhamborse', 'name': 'cloudphotod', 'pid': 5193, 'vms': 398672.546875}
{'username': 'shubhamborse', 'name': 'dataaccessd', 'pid': 5195, 'vms': 398685.5}
{'username': 'shubhamborse', 'name': 'tipsd', 'pid': 5196, 'vms': 398687.8125}
{'username': 'shubhamborse', 'name': 'followupd', 'pid': 5197, 'vms': 398665.75}
{'username': 'shubhamborse', 'name': 'TrustedPeersHelper', 'pid': 5198, 'vms': 399080.40625}
{'username': 'shubhamborse', 'name': 'com.apple.sbd', 'pid': 5199, 'vms': 398682.0}
{'username': 'shubhamborse', 'name': 'peopled', 'pid': 5200, 'vms': 398704.65625}
{'username': 'shubhamborse', 'name': 'proactiveeventtrackerd', 'pid': 5203, 'vms': 398662.390625}
{'username': 'shubhamborse', 'name': 'nbagent', 'pid': 5204, 'vms': 403098.609375}
{'username': 'shubhamborse', 'name': 'sirittsd', 'pid': 5216, 'vms': 398682.15625}
{'username': 'shubhamborse', 'name': 'RemoteManagementAgent', 'pid': 5235, 'vms': 398664.3125}
{'username': 'shubhamborse', 'name': 'spotlightknowledged', 'pid': 5236, 'vms': 399434.921875}
{'username': 'shubhamborse', 'name': 'SecuritySubscriber', 'pid': 5238, 'vms': 399206.40625}
{'username': 'shubhamborse', 'name': 'InteractiveLegacyProfilesSubscriber', 'pid': 5239, 'vms': 399206.109375}
{'username': 'shubhamborse', 'name': 'ScreenSharingSubscriber', 'pid': 5241, 'vms': 399206.609375}
{'username': 'shubhamborse', 'name': 'deleted', 'pid': 5243, 'vms': 398713.1875}
{'username': 'shubhamborse', 'name': 'LegacyProfilesSubscriber', 'pid': 5244, 'vms': 399334.09375}
{'username': 'shubhamborse', 'name': 'PasscodeSettingsSubscriber', 'pid': 5251, 'vms': 399206.109375}
{'username': 'shubhamborse', 'name': 'AccountSubscriber', 'pid': 5253, 'vms': 399118.78125}
{'username': 'shubhamborse', 'name': 'SoftwareUpdateSubscriber', 'pid': 5256, 'vms': 399206.109375}
{'username': 'shubhamborse', 'name': 'ManagementTestSubscriber', 'pid': 5259, 'vms': 399078.140625}
{'username': 'shubhamborse', 'name': 'ManagedConfigurationFilesSubscriber', 'pid': 5262, 'vms': 399110.3125}
{'username': 'shubhamborse', 'name': 'geodMachServiceBridge', 'pid': 5268, 'vms': 398630.0625}
{'username': 'shubhamborse', 'name': 'ASConfigurationSubscriber', 'pid': 5275, 'vms': 399238.15625}
{'username': 'shubhamborse', 'name': 'SoftwareUpdateNotificationManager', 'pid': 5289, 'vms': 398805.859375}
{'username': 'shubhamborse', 'name': 'financed', 'pid': 5290, 'vms': 398832.671875}
{'username': 'shubhamborse', 'name': 'media-indexer', 'pid': 5291, 'vms': 398689.71875}
{'username': 'shubhamborse', 'name': 'PodcastContentService', 'pid': 5292, 'vms': 398662.9375}
{'username': 'shubhamborse', 'name': 'com.apple.BKAgentService', 'pid': 5293, 'vms': 398534.09375}
{'username': 'shubhamborse', 'name': 'AMPArtworkAgent', 'pid': 5294, 'vms': 398668.421875}
{'username': 'shubhamborse', 'name': 'assistant_cdmd', 'pid': 5296, 'vms': 399111.34375}
{'username': 'shubhamborse', 'name': 'com.apple.siri.embeddedspeech', 'pid': 5297, 'vms': 398530.453125}
{'username': 'shubhamborse', 'name': 'com.apple.siri.embeddedspeech', 'pid': 5299, 'vms': 398534.78125}
{'username': 'shubhamborse', 'name': 'intelligenceplatformd', 'pid': 5310, 'vms': 398664.609375}
{'username': 'shubhamborse', 'name': 'mapssyncd', 'pid': 5311, 'vms': 398669.078125}
{'username': 'shubhamborse', 'name': 'transparencyd', 'pid': 5377, 'vms': 398679.515625}
{'username': 'shubhamborse', 'name': 'ControlCenterHelper', 'pid': 5514, 'vms': 398717.984375}
{'username': 'shubhamborse', 'name': 'QuickLookSatellite', 'pid': 5539, 'vms': 398698.59375}
{'username': 'shubhamborse', 'name': 'CloudKeychainProxy', 'pid': 5677, 'vms': 398630.734375}
{'username': 'shubhamborse', 'name': 'AuthenticationServicesAgent', 'pid': 5680, 'vms': 398857.78125}
{'username': 'shubhamborse', 'name': 'keychainsharingmessagingd', 'pid': 5681, 'vms': 399105.265625}
{'username': 'shubhamborse', 'name': 'XProtect', 'pid': 5685, 'vms': 398949.671875}
{'username': 'shubhamborse', 'name': 'XProtectPluginService', 'pid': 5686, 'vms': 398662.28125}
{'username': 'shubhamborse', 'name': 'devicecheckd', 'pid': 5689, 'vms': 398629.515625}
{'username': 'shubhamborse', 'name': 'WiFiVelocityAgent', 'pid': 5741, 'vms': 398629.578125}
{'username': 'shubhamborse', 'name': 'adprivacyd', 'pid': 5812, 'vms': 398677.359375}
{'username': 'shubhamborse', 'name': 'voicebankingd', 'pid': 5826, 'vms': 398670.125}
{'username': 'shubhamborse', 'name': 'appleaccountd', 'pid': 5827, 'vms': 398686.953125}
{'username': 'shubhamborse', 'name': 'EscrowSecurityAlert', 'pid': 5828, 'vms': 398629.703125}
{'username': 'shubhamborse', 'name': 'betaenrollmentd', 'pid': 5889, 'vms': 398662.109375}
{'username': 'shubhamborse', 'name': 'chronod', 'pid': 5938, 'vms': 400049.796875}
{'username': 'shubhamborse', 'name': 'extensionkitservice', 'pid': 5940, 'vms': 398705.296875}
{'username': 'shubhamborse', 'name': 'WeatherWidget', 'pid': 5941, 'vms': 398978.96875}
{'username': 'shubhamborse', 'name': 'StocksWidget', 'pid': 5942, 'vms': 398950.015625}
{'username': 'shubhamborse', 'name': 'ScreenTimeWidgetExtension', 'pid': 5943, 'vms': 398996.140625}
{'username': 'shubhamborse', 'name': 'CalendarWidgetExtension', 'pid': 5944, 'vms': 398723.96875}
{'username': 'shubhamborse', 'name': 'WorldClockWidget', 'pid': 5945, 'vms': 398733.046875}
{'username': 'shubhamborse', 'name': 'VTDecoderXPCService', 'pid': 6002, 'vms': 399534.28125}
{'username': 'shubhamborse', 'name': 'coreautha', 'pid': 6003, 'vms': 399323.765625}
{'username': 'shubhamborse', 'name': 'ProtectedCloudKeySyncing', 'pid': 6021, 'vms': 398662.8125}
{'username': 'shubhamborse', 'name': 'zoom.us', 'pid': 6026, 'vms': 401313.421875}
{'username': 'shubhamborse', 'name': 'caphost', 'pid': 6027, 'vms': 399671.609375}
{'username': 'shubhamborse', 'name': 'ThemeWidgetControlViewService', 'pid': 6032, 'vms': 399541.671875}
{'username': 'shubhamborse', 'name': 'CptHost', 'pid': 6035, 'vms': 399550.5625}
{'username': 'shubhamborse', 'name': 'aomhost', 'pid': 6036, 'vms': 399722.828125}
{'username': 'shubhamborse', 'name': 'PlugInLibraryService', 'pid': 6121, 'vms': 398512.125}
{'username': 'shubhamborse', 'name': 'Electron', 'pid': 6122, 'vms': 1547411.4375}
{'username': 'shubhamborse', 'name': 'chrome_crashpad_handler', 'pid': 6124, 'vms': 431254.390625}
{'username': 'shubhamborse', 'name': 'Code Helper (GPU)', 'pid': 6125, 'vms': 431655.9375}
{'username': 'shubhamborse', 'name': 'VTDecoderXPCService', 'pid': 6126, 'vms': 399390.359375}
{'username': 'shubhamborse', 'name': 'Code Helper', 'pid': 6127, 'vms': 431484.859375}
{'username': 'shubhamborse', 'name': 'Code Helper (Renderer)', 'pid': 6128, 'vms': 1556280.0625}
{'username': 'shubhamborse', 'name': 'Code Helper (Plugin)', 'pid': 6147, 'vms': 1546932.875}
{'username': 'shubhamborse', 'name': 'Code Helper', 'pid': 6148, 'vms': 1546943.28125}
{'username': 'shubhamborse', 'name': 'Code Helper', 'pid': 6149, 'vms': 1546943.921875}
{'username': 'shubhamborse', 'name': 'Code Helper', 'pid': 6151, 'vms': 1546914.078125}
{'username': 'shubhamborse', 'name': 'colorsync.useragent', 'pid': 6209, 'vms': 398672.625}
{'username': 'shubhamborse', 'name': 'com.apple.ColorSyncXPCAgent', 'pid': 6210, 'vms': 398494.03125}
{'username': 'shubhamborse', 'name': 'Notes', 'pid': 6229, 'vms': 400373.1875}
{'username': 'shubhamborse', 'name': 'com.apple.Notes.LPPreviewGenerator', 'pid': 6230, 'vms': 398957.09375}
{'username': 'shubhamborse', 'name': 'GroupSessionService', 'pid': 6231, 'vms': 399146.21875}
{'username': 'shubhamborse', 'name': 'MTLCompilerService', 'pid': 6232, 'vms': 399505.421875}
{'username': 'shubhamborse', 'name': 'AppleSpell', 'pid': 6243, 'vms': 399174.296875}
{'username': 'shubhamborse', 'name': 'QLPreviewGenerationExtension', 'pid': 6258, 'vms': 398733.34375}
{'username': 'shubhamborse', 'name': 'SpeechSynthesisServerXPC', 'pid': 6259, 'vms': 398690.8125}
{'username': 'shubhamborse', 'name': 'ThemeWidgetControlViewService', 'pid': 6327, 'vms': 399450.25}
{'username': 'shubhamborse', 'name': 'Google Chrome Helper (Renderer)', 'pid': 6371, 'vms': 1557330.546875}
{'username': 'shubhamborse', 'name': 'mdworker_shared', 'pid': 6381, 'vms': 398676.71875}
{'username': 'shubhamborse', 'name': 'Python', 'pid': 6382, 'vms': 399981.15625}
