--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Sat Oct  7 19:08:27 2023
--------------------------------------------------------------------------------

{'name': 'axassetsd', 'pid': 4831, 'username': 'shubhamborse', 'vms': 398664.234375}
{'name': 'com.apple.audio.ComponentTagHelper', 'pid': 4832, 'username': 'shubhamborse', 'vms': 398502.078125}
{'name': 'naturallanguaged', 'pid': 4836, 'username': 'shubhamborse', 'vms': 398731.84375}
{'name': 'Google Chrome Helper (Renderer)', 'pid': 4838, 'username': 'shubhamborse', 'vms': 1557406.890625}
{'name': 'ReportCrash', 'pid': 4849, 'username': 'shubhamborse', 'vms': 398502.359375}
{'name': 'siriknowledged', 'pid': 4855, 'username': 'shubhamborse', 'vms': 398672.65625}
{'name': 'IMDPersistenceAgent', 'pid': 4856, 'username': 'shubhamborse', 'vms': 398705.40625}
{'name': 'keyboardservicesd', 'pid': 4873, 'username': 'shubhamborse', 'vms': 398685.265625}
{'name': 'PlugInLibraryService', 'pid': 4885, 'username': 'shubhamborse', 'vms': 398493.125}
{'name': 'PlugInLibraryService', 'pid': 4887, 'username': 'shubhamborse', 'vms': 398521.125}
{'name': 'XprotectService', 'pid': 4888, 'username': 'shubhamborse', 'vms': 398705.453125}
{'name': 'MTLAssetUpgraderD', 'pid': 4893, 'username': 'shubhamborse', 'vms': 398662.3125}
{'name': 'linkd', 'pid': 4894, 'username': 'shubhamborse', 'vms': 398717.203125}
{'name': 'ContainerMetadataExtractor', 'pid': 4911, 'username': 'shubhamborse', 'vms': 398668.9375}
{'name': 'OSDUIHelper', 'pid': 4953, 'username': 'shubhamborse', 'vms': 399452.0}
{'name': 'ThemeWidgetControlViewService', 'pid': 4970, 'username': 'shubhamborse', 'vms': 399804.921875}
{'name': 'MTLCompilerService', 'pid': 4975, 'username': 'shubhamborse', 'vms': 399395.421875}
{'name': 'PlugInLibraryService', 'pid': 5013, 'username': 'shubhamborse', 'vms': 398502.125}
{'name': 'com.apple.quicklook.ThumbnailsAgent', 'pid': 5014, 'username': 'shubhamborse', 'vms': 399216.03125}
{'name': 'ThumbnailExtension_macOS', 'pid': 5016, 'username': 'shubhamborse', 'vms': 398738.546875}
{'name': 'ScopedBookmarkAgent', 'pid': 5019, 'username': 'shubhamborse', 'vms': 398689.59375}
{'name': 'appstoreagent', 'pid': 5078, 'username': 'shubhamborse', 'vms': 398715.078125}
{'name': 'amsengagementd', 'pid': 5081, 'username': 'shubhamborse', 'vms': 403030.625}
{'name': 'promotedcontentd', 'pid': 5082, 'username': 'shubhamborse', 'vms': 398652.203125}
{'name': 'mobiletimerd', 'pid': 5178, 'username': 'shubhamborse', 'vms': 398672.578125}
{'name': 'backgroundassets.user', 'pid': 5180, 'username': 'shubhamborse', 'vms': 398533.375}
{'name': 'com.apple.Safari.SafeBrowsing.Service', 'pid': 5185, 'username': 'shubhamborse', 'vms': 398699.703125}
{'name': 'photoanalysisd', 'pid': 5187, 'username': 'shubhamborse', 'vms': 398714.875}
{'name': 'photolibraryd', 'pid': 5189, 'username': 'shubhamborse', 'vms': 398742.9375}
{'name': 'cloudphotod', 'pid': 5193, 'username': 'shubhamborse', 'vms': 398672.546875}
{'name': 'dataaccessd', 'pid': 5195, 'username': 'shubhamborse', 'vms': 398685.5}
{'name': 'tipsd', 'pid': 5196, 'username': 'shubhamborse', 'vms': 398687.8125}
{'name': 'followupd', 'pid': 5197, 'username': 'shubhamborse', 'vms': 398665.75}
{'name': 'TrustedPeersHelper', 'pid': 5198, 'username': 'shubhamborse', 'vms': 399080.40625}
{'name': 'com.apple.sbd', 'pid': 5199, 'username': 'shubhamborse', 'vms': 398682.0}
{'name': 'peopled', 'pid': 5200, 'username': 'shubhamborse', 'vms': 398704.65625}
{'name': 'proactiveeventtrackerd', 'pid': 5203, 'username': 'shubhamborse', 'vms': 398662.390625}
{'name': 'nbagent', 'pid': 5204, 'username': 'shubhamborse', 'vms': 403098.609375}
{'name': 'sirittsd', 'pid': 5216, 'username': 'shubhamborse', 'vms': 398682.15625}
{'name': 'RemoteManagementAgent', 'pid': 5235, 'username': 'shubhamborse', 'vms': 398664.3125}
{'name': 'spotlightknowledged', 'pid': 5236, 'username': 'shubhamborse', 'vms': 399434.921875}
{'name': 'SecuritySubscriber', 'pid': 5238, 'username': 'shubhamborse', 'vms': 399206.40625}
{'name': 'InteractiveLegacyProfilesSubscriber', 'pid': 5239, 'username': 'shubhamborse', 'vms': 399206.109375}
{'name': 'ScreenSharingSubscriber', 'pid': 5241, 'username': 'shubhamborse', 'vms': 399206.609375}
{'name': 'deleted', 'pid': 5243, 'username': 'shubhamborse', 'vms': 398713.1875}
{'name': 'LegacyProfilesSubscriber', 'pid': 5244, 'username': 'shubhamborse', 'vms': 399334.09375}
{'name': 'PasscodeSettingsSubscriber', 'pid': 5251, 'username': 'shubhamborse', 'vms': 399206.109375}
{'name': 'AccountSubscriber', 'pid': 5253, 'username': 'shubhamborse', 'vms': 399118.78125}
{'name': 'SoftwareUpdateSubscriber', 'pid': 5256, 'username': 'shubhamborse', 'vms': 399206.109375}
{'name': 'ManagementTestSubscriber', 'pid': 5259, 'username': 'shubhamborse', 'vms': 399078.140625}
{'name': 'ManagedConfigurationFilesSubscriber', 'pid': 5262, 'username': 'shubhamborse', 'vms': 399110.3125}
{'name': 'geodMachServiceBridge', 'pid': 5268, 'username': 'shubhamborse', 'vms': 398630.0625}
{'name': 'ASConfigurationSubscriber', 'pid': 5275, 'username': 'shubhamborse', 'vms': 399238.15625}
{'name': 'SoftwareUpdateNotificationManager', 'pid': 5289, 'username': 'shubhamborse', 'vms': 398805.859375}
{'name': 'financed', 'pid': 5290, 'username': 'shubhamborse', 'vms': 398832.671875}
{'name': 'media-indexer', 'pid': 5291, 'username': 'shubhamborse', 'vms': 398689.71875}
{'name': 'PodcastContentService', 'pid': 5292, 'username': 'shubhamborse', 'vms': 398662.9375}
{'name': 'com.apple.BKAgentService', 'pid': 5293, 'username': 'shubhamborse', 'vms': 398534.09375}
{'name': 'AMPArtworkAgent', 'pid': 5294, 'username': 'shubhamborse', 'vms': 398668.421875}
{'name': 'assistant_cdmd', 'pid': 5296, 'username': 'shubhamborse', 'vms': 399111.34375}
{'name': 'com.apple.siri.embeddedspeech', 'pid': 5297, 'username': 'shubhamborse', 'vms': 398530.453125}
{'name': 'com.apple.siri.embeddedspeech', 'pid': 5299, 'username': 'shubhamborse', 'vms': 398534.78125}
{'name': 'intelligenceplatformd', 'pid': 5310, 'username': 'shubhamborse', 'vms': 398664.609375}
{'name': 'mapssyncd', 'pid': 5311, 'username': 'shubhamborse', 'vms': 398669.625}
{'name': 'transparencyd', 'pid': 5377, 'username': 'shubhamborse', 'vms': 398679.515625}
{'name': 'ControlCenterHelper', 'pid': 5514, 'username': 'shubhamborse', 'vms': 398717.984375}
{'name': 'QuickLookSatellite', 'pid': 5539, 'username': 'shubhamborse', 'vms': 398698.59375}
{'name': 'CloudKeychainProxy', 'pid': 5677, 'username': 'shubhamborse', 'vms': 398630.734375}
{'name': 'AuthenticationServicesAgent', 'pid': 5680, 'username': 'shubhamborse', 'vms': 398857.78125}
{'name': 'keychainsharingmessagingd', 'pid': 5681, 'username': 'shubhamborse', 'vms': 399105.265625}
{'name': 'XProtect', 'pid': 5685, 'username': 'shubhamborse', 'vms': 398949.671875}
{'name': 'XProtectPluginService', 'pid': 5686, 'username': 'shubhamborse', 'vms': 398662.28125}
{'name': 'devicecheckd', 'pid': 5689, 'username': 'shubhamborse', 'vms': 398629.515625}
{'name': 'WiFiVelocityAgent', 'pid': 5741, 'username': 'shubhamborse', 'vms': 398629.578125}
{'name': 'adprivacyd', 'pid': 5812, 'username': 'shubhamborse', 'vms': 398677.359375}
{'name': 'voicebankingd', 'pid': 5826, 'username': 'shubhamborse', 'vms': 398670.125}
{'name': 'appleaccountd', 'pid': 5827, 'username': 'shubhamborse', 'vms': 398687.5}
{'name': 'EscrowSecurityAlert', 'pid': 5828, 'username': 'shubhamborse', 'vms': 398629.703125}
{'name': 'betaenrollmentd', 'pid': 5889, 'username': 'shubhamborse', 'vms': 398662.109375}
{'name': 'chronod', 'pid': 5938, 'username': 'shubhamborse', 'vms': 400049.796875}
